# Timing post-processed analysis
# Source   : 2026-03-18_21-16-36_Multi_Timing.csv
# Generated: 2026-03-19 12:25:15
# Points   : 10000
# Disconnects: 0
Timestamp,Total_Ms,Comm_Ms,Address_Switch_Ms,UI_Ms,Record_Ms,Had_Error,Rolling_Mean_Total_Ms,Rolling_StdDev_Total_Ms
2026-03-19 03:46:51.666,2507.600,2132.100,375.300,0.000,0.100,0,2517.074,7.9711181
2026-03-19 03:46:54.246,2528.100,2151.200,376.800,0.000,0.000,0,2517.213,8.0406798
2026-03-19 03:46:56.839,2516.700,2141.300,375.300,0.000,0.000,0,2517.164,8.0287175
2026-03-19 03:46:59.415,2529.500,2151.900,377.500,0.100,0.000,0,2517.162,8.0256187
2026-03-19 03:47:02.001,2515.400,2143.300,372.000,0.100,0.000,0,2517.037,7.9544284
2026-03-19 03:47:04.575,2524.600,2149.400,375.100,0.000,0.000,0,2517.015,7.9304019
2026-03-19 03:47:07.165,2513.200,2140.900,372.100,0.100,0.000,0,2517.082,7.8693504
2026-03-19 03:47:09.751,2527.400,2154.100,373.100,0.100,0.000,0,2517.137,7.9218767
2026-03-19 03:47:12.342,2522.500,2149.200,373.300,0.000,0.000,0,2517.342,7.7916902
2026-03-19 03:47:14.911,2528.800,2154.300,374.400,0.000,0.000,0,2517.524,7.8444645
2026-03-19 03:47:17.491,2505.600,2131.800,373.700,0.000,0.000,0,2517.476,7.9023809
2026-03-19 03:47:20.066,2517.500,2143.200,374.300,0.000,0.000,0,2517.532,7.8824854
2026-03-19 03:47:22.640,2512.800,2138.500,374.100,0.100,0.000,0,2517.468,7.8946549
2026-03-19 03:47:25.235,2512.400,2136.200,376.000,0.000,0.000,0,2517.473,7.8912845
2026-03-19 03:47:27.822,2533.600,2157.000,376.500,0.100,0.000,0,2517.645,8.0518367
2026-03-19 03:47:30.396,2526.400,2149.900,376.400,0.000,0.000,0,2517.659,8.0658179
2026-03-19 03:47:32.975,2511.100,2136.100,374.900,0.100,0.000,0,2517.666,8.0598166
2026-03-19 03:47:35.550,2515.400,2144.600,370.800,0.000,0.000,0,2517.625,8.0608111
2026-03-19 03:47:38.135,2512.600,2140.900,371.500,0.100,0.000,0,2517.463,7.9971327
2026-03-19 03:47:40.725,2522.600,2149.500,373.100,0.000,0.000,0,2517.558,8.0011647
2026-03-19 03:47:43.303,2527.300,2154.200,373.000,0.000,0.000,0,2517.777,7.9650217
2026-03-19 03:47:45.895,2515.100,2140.600,374.400,0.000,0.000,0,2517.665,7.9230218
2026-03-19 03:47:48.485,2528.900,2154.100,374.700,0.000,0.000,0,2517.752,7.9977932
2026-03-19 03:47:51.066,2529.700,2153.500,376.100,0.100,0.000,0,2517.721,7.9452413
